OBJECTID;Id da Instalação;Nome;Id Agente Principal;Agente Principal;Data Prevista;Data Prevista;Data Entrada;Data Entrada,x,y
79;BACVN ;SUB CURVA DOS VENTOS                               BA       ;GRR;ENEL GREEN POWER EMILIANA EÓLICA SA                            ;30/07/2014;31/07/2014;25/09/2014;26/09/2014,-42.61620100599998,-13.91636400699997
80;BADFN ;SUB DELFINA                                        BA       ;DLF;ENEL GREEN POWER DELFINA A EÓLICA S.A.                         ;30/09/2017;01/10/2017;30/10/2017;31/10/2017,-40.92990000499998,-10.007217004999973
81;BAENP ;SUB EUNAPOLIS                                      BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-39.580277800999966,-16.377222202999974
82;BAFDS ;SUB FOLHA DE SERRA                                 BA       ;BLV;CENTRAIS EOLICAS FOLHA DA SERRA S.A                            ;29/12/2016;30/12/2016;01/02/2022;02/02/2022,-42.56164099999995,-14.542464800999994
83;BAFNL ;SUB FUNIL                                          BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;05/02/2000;06/02/2000,-39.46277800199999,-14.232222005999972
84;BAFRD ;SUB FORD                                           BA       ;AFT;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S.A.                  ;;;30/12/1990;31/12/1990,-38.27745700599996,-12.66931400499999
85;BAFS3 ;SUB FEIRA DE SANTANA III                           BA       ;YON;FS TRANSMISSORA DE ENERGIA ELÉTRICA S.A.                       ;20/03/2022;21/03/2022;01/09/2022;02/09/2022,-38.949611104999974,-12.134166702999948
86;BAGBL ;SUB GLOBAL                                         BA       ;C10;COMPANHIA ENERGETICA CANDEIAS                                  ;29/06/2010;30/06/2010;06/05/2010;07/05/2010,-38.482917002999955,-12.727500007000003
87;BAGOI ;SUB GENTIO DO OURO I                               BA       ;SSR;ASSURUA 1 II ENERGIA S.A.                                      ;27/02/2016;28/02/2016;04/04/2016;05/04/2016,-42.66154400299996,-11.11735299999998
88;BAGOR ;SUB GENTIO DO OURO II                              BA       ;JMM;TRANSMISSORA JOSE MARIA DE MACEDO DE ELETRICIDADE S.A.         ;26/03/2018;27/03/2018;03/05/2018;04/05/2018,-42.64555600299997,-11.317778006999959
89;BAGRP ;SUB GUIRAPA                                        BA       ;GPA;Centrais Eólicas Guirapá SA                                    ;29/04/2014;30/04/2014;03/07/2014;04/07/2014,-42.598414004000006,-14.17214200699999
90;BAGVM ;SUB GOVERNADOR MANGABEIRA                          BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-39.03333330199996,-12.60638890499996
91;BAICA ;SUB IBICOARA                                       BA       ;TAE;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A                   ;30/03/2003;31/03/2003;03/03/2003;04/03/2003,-41.37555560499999,-13.442500002999964
92;BAIGB ;SUB ITAGIBA                                        BA       ;AFT;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S.A.                  ;30/10/2009;31/10/2009;12/09/2009;13/09/2009,-39.71658900399996,-14.234494000999973
93;BAIGD ;SUB IGAPORA II                                     BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;30/05/2014;31/05/2014;29/05/2014;30/05/2014,-42.629444003,-14.027222000999984
94;BAIGT ;SUB IGAPORA III                                    BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;24/10/2015;25/10/2015;14/11/2015;15/11/2015,-42.61969400199996,-14.015189007000004
95;BAIRE ;SUB IRECE                                          BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-41.80768800499999,-11.309515006999959
96;BAITB3;SUB ITABUNA III                                    BA       ;AE3;ARTEON Z3 ENERGIA S.A.                                         ;24/02/2021;25/02/2021;25/11/2021;26/11/2021,-39.26870830399997,-14.829030603999968
